user_id,gender,age,occupation,zip_code
453,M,25,20,55092
454,F,35,2,55113
455,M,35,0,55105
456,M,18,4,54703
457,M,50,16,55405-2546
458,F,18,4,55105
459,M,45,18,55313
460,M,50,7,55075
461,M,18,16,55416
462,M,25,7,55105
463,F,18,4,55455
464,M,18,19,94523
465,M,25,5,55405
466,F,35,3,55075
467,F,1,10,55082
468,M,35,6,55122
469,F,1,10,55068
470,M,35,7,08904
471,M,35,0,55418
472,F,18,4,55112
473,M,25,17,92126
474,F,25,2,55421
475,M,35,0,55127
476,M,35,14,55410
477,M,50,16,55113
478,M,25,12,55042
479,F,18,4,55422
480,M,45,7,55115
481,M,25,14,55305
482,M,18,12,55105
483,F,1,10,55104
484,M,56,7,55042
485,M,56,0,91367
486,F,35,17,55082
487,M,25,12,55107
488,M,18,4,55455
489,M,1,10,55345
490,M,18,4,56043
491,M,25,12,55112
492,M,50,7,55016
493,F,35,0,17870
494,M,18,10,55421
495,M,18,4,55455
496,F,25,17,55412
497,M,35,17,55113
498,F,25,1,55108
499,F,18,2,55105
500,M,25,2,55372
501,M,35,6,55126
502,M,35,11,73120
503,M,25,2,17003
504,M,35,17,37815
505,M,25,16,55103-1006
506,F,25,0,55405
507,M,25,12,55418
508,M,25,2,55125
509,M,18,12,55109
510,F,45,4,15232
511,M,35,0,55379
512,M,25,0,55119
513,M,25,2,55113
514,M,25,1,55406
515,F,56,14,55033
516,F,25,14,55408
517,F,35,12,75240
518,F,35,14,55038
519,F,35,20,55104
520,M,56,7,55105
521,M,25,12,55124
522,M,50,7,55105
523,M,18,0,91320
524,M,35,6,19027
525,M,45,17,94806
526,F,25,2,11201
527,F,18,17,83843
528,M,35,12,92009
529,M,25,2,10019
530,F,18,14,22206
531,M,25,7,94301
532,M,25,12,27514
533,M,25,15,55902
534,M,35,6,95370
535,M,25,20,01267
536,M,45,14,07704
537,M,56,16,95407
538,M,25,2,55103
539,M,18,1,15213
540,F,18,4,5849574
541,M,18,4,78705
542,M,25,5,55057
543,M,35,12,94538
544,M,35,17,01890
545,F,25,0,37211
546,M,35,12,76109
547,F,35,16,96860
548,M,25,6,53217
549,M,45,8,21559
550,M,35,20,55116
551,M,50,18,23456
552,M,25,2,94131
553,M,25,12,94086
554,M,18,4,53213
555,F,25,9,37221
556,M,56,1,30030
557,M,35,20,55108
558,F,25,7,60422
559,M,45,15,81335
560,F,18,14,64060
561,M,35,20,48083
562,M,25,4,53703
563,M,45,1,49419
564,M,25,16,45242
565,M,25,17,92122
566,M,35,20,52570-9634
567,F,50,17,19716
568,F,18,4,97339
569,M,25,4,33314
570,M,50,5,95401
571,M,18,4,61801
572,F,35,2,98119
573,M,25,19,90214
574,M,25,12,92130
575,F,45,15,20910
576,M,35,0,02115
577,M,18,17,90064
578,M,25,5,32839
579,M,1,10,08534
580,M,50,14,73543
581,M,18,4,67042
582,F,25,0,48067
583,F,25,0,94403
584,M,18,1,53703
585,M,35,14,53092
586,M,25,20,92649
587,F,25,11,23220
588,M,18,2,90210
589,F,35,6,98032
590,M,25,0,76201
591,M,18,0,92103
592,F,50,1,91711
593,F,56,13,60076
594,M,25,7,10019
595,F,25,1,01950
596,M,35,12,80206
597,M,35,7,95476
598,M,50,6,53711
599,M,35,17,66209
600,F,18,20,06320
601,F,56,6,14612
602,F,25,6,32256
603,M,45,17,32256
604,F,18,4,44425
605,F,1,10,49507
606,M,25,0,43614
607,M,18,4,18011
608,M,25,7,10012
609,M,25,4,77025
610,M,35,0,20715
611,M,50,7,95020
612,M,35,20,10562
613,M,35,1,90024
614,M,50,17,32951
615,M,25,7,94115
616,F,25,7,92117
617,M,25,0,74105
618,F,18,1,94706
619,M,18,0,13210
620,M,18,4,93560
621,M,25,0,92612
622,M,25,17,60555
623,M,25,1,75207
624,F,35,12,44106
625,M,18,4,77005
626,M,50,2,97210
627,F,35,0,20715
628,F,1,10,48154
629,F,35,14,80525
630,M,35,17,28601
631,M,45,17,07649
632,M,25,17,94131
633,F,1,10,49512
634,M,56,17,33785
635,M,18,20,92055
636,M,35,12,97132
637,M,25,6,77584
638,M,45,17,85202
639,M,18,4,47406
640,F,35,0,55116
641,F,35,1,78155
642,M,25,2,23188
643,M,25,20,93704
644,M,35,20,11215
645,M,35,7,08505
646,M,35,12,85224
647,F,25,12,94131
648,M,25,4,80526
649,M,25,17,49445
650,M,35,7,20895
651,M,18,20,12222
652,M,56,13,92660
653,M,50,7,75023
654,F,25,2,92629
655,F,45,16,92106
656,F,50,13,34691
657,F,25,0,10021
658,F,25,0,28134
659,M,45,16,70507
660,M,45,1,13114
661,M,18,4,99163
662,F,25,7,12345
663,M,35,18,74601
664,M,18,2,13317
665,F,18,0,08540
666,M,25,18,98438
667,F,25,3,22042
668,M,25,17,30307
669,M,25,12,30303
670,M,18,4,61761
671,M,35,7,46845
672,M,25,20,10023
673,M,25,17,22042
674,M,25,20,02048
675,M,18,16,55129
676,M,50,2,94122
677,M,25,0,34952
678,M,35,16,29681
679,M,25,12,37013
680,M,35,7,30501
681,M,25,4,27510
682,M,25,4,27514
683,M,25,4,27510
684,M,25,4,27514
685,M,18,4,27514
686,F,25,7,14136
687,M,56,13,13407
688,F,50,0,48103
689,M,25,12,90717
690,M,35,11,96813
691,F,25,0,85207
692,M,35,12,98103
693,M,18,4,76401
694,F,18,1,04240
695,M,25,12,94114
696,F,50,6,97330
697,M,18,4,76401
698,M,18,0,73505
699,M,50,17,14650
700,F,18,4,01002
701,M,35,7,90808
702,F,56,1,44074
703,F,35,8,85712
704,M,25,4,48065
705,M,35,20,78664
706,M,35,7,17740
707,M,25,0,37042
708,M,18,0,92647
709,M,25,20,85207
710,M,25,18,80521
711,M,25,0,95136
712,M,35,7,79912
713,M,18,4,76013
714,M,18,0,53715
715,M,18,4,98188
716,M,25,11,90211
717,M,18,2,90211
718,M,1,0,75070
719,M,18,0,55129
720,F,35,9,97520
721,M,25,12,55106
722,M,25,12,98027
723,M,50,13,90266
724,M,56,11,08904
725,F,25,9,77449
726,M,35,11,94061
727,M,25,6,11598
728,M,35,12,85284
729,M,25,0,10580
730,M,45,3,55410
731,M,25,7,07030
732,M,35,16,30034
733,M,25,7,90078
734,M,25,14,04240
735,M,18,12,07070
736,M,1,19,53711
737,M,18,17,99205
738,M,35,12,55803
739,M,25,14,24551
740,M,25,5,44095
741,M,18,0,54758
742,F,1,2,60660
743,M,25,17,77007
744,M,1,10,90004
745,F,18,19,95019
746,M,18,4,98606
747,M,25,0,60098
748,M,35,18,56303
749,F,35,9,13066
750,F,25,17,97201
751,F,25,3,97401
752,M,1,10,42754
753,M,35,7,38024
754,F,35,0,94002
755,M,35,0,90064
756,M,25,12,97401
757,M,35,7,19518
758,F,56,3,89156
759,M,56,15,94114
760,M,18,7,99945
761,M,1,10,63041
762,M,18,10,02882
763,M,18,20,85296
764,M,25,17,74467
765,F,25,7,95128
766,M,25,12,45241
767,M,25,12,17067
768,M,45,17,02421
769,M,18,4,98499
770,F,50,1,75087
771,M,18,12,89118
772,M,25,6,48108
773,M,18,4,22903
774,M,1,17,56258
775,F,25,3,92627
776,M,18,19,87543
777,M,18,17,32694
778,M,25,0,60156
779,M,25,17,91776
780,M,18,4,95076
781,M,56,1,28223
782,M,25,4,53703
783,M,18,0,11040
784,M,18,19,29307
785,M,25,0,55987
786,M,18,4,77802
787,M,25,0,37601
788,M,18,1,67212
789,M,25,17,45694
790,M,35,7,27511
791,M,25,17,01002
792,F,35,14,37043
793,M,50,20,10543
794,F,35,14,19147
795,M,50,6,98237
796,F,50,7,20175
797,F,25,20,48464
798,F,25,5,98498
799,F,35,12,72032
800,F,25,20,95776
801,M,25,16,22801
802,M,18,4,67217
803,M,25,20,90032
804,M,35,12,37211
805,M,35,0,34990
806,M,18,4,89015
807,M,25,7,85226
808,M,25,17,70508
809,M,25,12,98006
810,M,50,0,94043
811,M,25,6,37930
812,M,18,4,70002
813,F,18,4,92612
814,M,25,4,37130
815,M,45,0,92108
816,M,18,4,41076
817,M,18,4,60107
818,M,35,7,60611
819,M,35,7,78759
820,M,18,2,14456
821,F,25,1,07666
822,M,25,0,92078
823,M,35,12,94530
824,M,56,1,39532
825,F,35,1,80210
826,M,45,2,55409
827,M,18,4,70817
828,M,1,19,53711
829,M,35,7,60657
830,F,45,0,20874
831,M,18,2,19464
832,M,35,7,46825
833,F,35,12,78640
834,M,56,0,94952
835,M,25,11,10023
836,M,56,7,08540
837,M,50,17,92661
838,M,25,0,98103
839,F,25,3,02828
840,F,50,14,92119
841,F,18,0,55102
842,M,25,7,49321
843,M,25,0,92121
844,F,18,0,20009
845,M,25,5,80209
846,F,25,7,80228
847,M,25,15,94121
848,M,25,3,75006
849,M,35,0,60640
850,M,18,4,75287
851,M,25,5,92105
852,M,25,17,55447
853,F,25,16,44092
854,F,18,2,72701
855,F,45,6,02453
856,M,35,17,11701
857,M,35,14,10013
858,M,25,12,10128
859,M,18,0,78237
860,M,25,7,37027
861,M,35,7,10019
862,M,25,7,62522
863,F,25,0,97205
864,M,35,1,91711
865,M,1,10,08820
866,M,45,12,95814
867,M,50,17,01702-7224
868,M,18,20,92026
869,F,25,1,02144
870,M,1,10,76013
871,M,50,1,20815
872,M,56,6,19027
873,M,45,15,26105
874,M,1,10,94707
875,M,25,4,43202
876,M,25,0,90631
877,M,18,2,01720
878,M,45,16,92018
879,M,35,17,94114
880,M,18,14,76401
881,M,18,2,01720
882,F,35,14,92673
883,M,1,10,49454
884,M,35,0,48105
885,F,56,0,14830
886,F,56,16,55345
887,F,1,10,08820
888,M,45,20,10024
889,M,18,4,92153
890,M,25,1,80202
891,M,35,0,76031
892,F,50,6,85016
893,M,18,4,31602
894,M,50,1,34683
895,M,18,15,94015
896,M,25,6,92130
897,M,25,7,77005
898,F,25,1,30605
899,F,56,13,90066
900,F,56,0,92027
901,M,56,0,45432
902,M,56,13,75165
903,M,35,20,92308
904,F,45,12,28655
905,M,1,10,71106
906,F,45,6,92117
907,F,50,1,92103
908,M,45,7,92831
909,F,50,0,98226
910,M,50,0,98226
911,F,35,2,91324
912,M,25,0,20744-6223
913,F,35,9,30338
914,M,25,7,72762
915,F,25,1,92084
916,M,50,6,92117
917,F,45,1,91901
918,F,35,1,92056
919,M,18,4,92173
920,M,25,17,92084
921,M,56,16,48009
922,M,25,7,37212
923,M,50,17,98642
924,F,35,3,48073
925,M,1,10,07869
926,F,25,20,91105
927,F,56,16,98199
928,M,25,15,53706
929,M,25,5,98380
930,F,56,1,06032
931,F,35,6,97838
932,M,45,1,49419
933,F,35,7,97401
934,M,35,14,60538
935,M,18,4,34567
936,M,25,15,60513
937,F,25,1,01060
938,F,25,20,20110-5616
939,M,1,10,76240
940,M,18,20,45387
941,F,50,6,85716
942,F,45,12,08033
943,M,35,0,91505
944,M,45,7,49345
945,M,35,7,48103-8929
946,M,18,0,21015
947,M,56,12,43056
948,M,50,17,96753
949,M,35,7,21044
950,M,45,2,10009
951,M,56,16,97478
952,M,50,20,97030
953,F,25,0,21030
954,F,50,7,94941
955,M,35,1,55104
956,M,35,1,29706
957,M,35,2,48116
958,M,50,11,44622
959,M,1,10,45244
960,M,18,10,10016
961,F,25,1,80020
962,M,25,0,48197
963,M,25,7,94123
964,M,56,7,10954
965,M,56,2,92262
966,F,18,0,43615
967,M,50,12,94530
968,F,25,11,19103
969,M,25,0,27615
970,M,25,12,43615
971,M,45,1,02138
972,F,25,1,80026
973,M,35,19,94930
974,M,35,0,98136
975,M,35,14,89113
976,M,25,2,80110
977,M,18,0,19116
978,M,1,10,48073
979,M,25,6,92014
980,M,25,20,02141
981,F,25,9,92064
982,F,25,16,99224
983,M,50,16,92129
984,M,25,4,32608
985,F,56,0,19004
986,F,35,17,48098
987,M,50,11,48823
988,M,50,0,20706
989,M,18,6,10004
990,F,25,9,48103
991,F,35,3,02780
992,M,25,0,45678
993,M,18,2,92109
994,F,18,4,96803
995,M,25,17,98102
996,M,1,19,15748
997,M,45,20,10019
998,M,25,15,62558
999,F,25,6,90027
1000,M,25,4,90210
1001,M,50,11,07043
1002,M,25,2,19320
1003,M,25,3,95136
1004,M,35,11,08003
1005,M,18,4,53220
1006,M,50,12,01960
1007,M,35,3,77064
1008,M,50,7,48315
1009,M,25,0,10310
1010,M,25,8,92115
1011,F,35,1,30004
1012,M,56,13,02576
1013,F,45,17,03054
1014,M,35,3,11220
1015,M,56,16,60044
1016,M,35,0,30906
1017,M,18,4,95616
1018,M,35,1,60640
1019,M,18,20,93455
1020,M,35,0,94559
1021,M,25,3,00918
1022,M,56,13,92675
1023,F,35,1,74135
1024,M,25,16,34677
1025,F,45,0,19130
1026,M,18,4,77005
1027,F,45,7,03848
1028,M,25,0,20015
1029,M,25,7,97303
1030,M,35,16,19803
1031,M,50,16,19425
1032,M,25,5,60076
1033,F,35,1,82601
1034,M,18,2,15956
1035,M,35,7,28036
1036,M,45,7,02081
1037,F,56,15,20194
1038,F,35,1,02346
1039,M,25,11,76309
1040,M,45,2,94306
1041,M,35,5,92801
1042,F,50,11,87004
1043,M,25,20,72701
1044,F,1,10,77477
1045,M,56,18,53404-1230
1046,M,18,0,62225
1047,M,35,6,75225
1048,M,45,14,95002
1049,M,25,1,97302
1050,F,25,0,60513
1051,F,35,2,75214
1052,M,35,0,18360
1053,M,1,10,75040
1054,M,35,0,91505
1055,M,1,0,48133
1056,M,45,17,73069
1057,M,25,1,97321
1058,F,25,0,97213
1059,M,18,10,11235
1060,M,45,0,46060
1061,M,50,19,59457
1062,M,35,7,50265
1063,M,25,7,91344
1064,F,25,0,94402
1065,M,45,12,02151
1066,M,35,12,94402
1067,F,18,4,77581
1068,M,25,20,98105
1069,F,45,2,20036
1070,M,50,16,13045
1071,F,35,7,07601
1072,F,25,6,72211
1073,M,45,17,48073
1074,F,25,6,60660
1075,F,25,3,27606
1076,M,25,3,60660
1077,F,45,9,95661
1078,M,25,7,98115
1079,M,56,7,08854
1080,M,18,4,68144-2410
1081,M,45,7,48170
1082,M,56,0,27705
1083,M,1,19,03226
1084,M,25,7,34695
1085,M,18,4,98225
1086,M,25,16,08826
1087,F,1,10,98103
1088,M,35,6,37853
1089,M,25,7,94105
1090,M,18,5,345567
1091,F,18,4,49525
1092,M,50,14,60504
1093,F,18,0,92626
1094,F,56,6,08753
1095,M,1,10,80439
1096,M,18,17,92109
1097,M,35,7,94945
1098,M,25,17,77059
1099,M,25,0,60090
1100,M,35,1,06417
1101,M,18,1,55408
1102,F,45,7,60605
1103,M,35,11,10023
1104,M,35,6,48105
1105,M,18,4,90241
1106,F,50,1,02324
1107,M,56,1,93003
1108,M,18,10,45904
1109,F,56,6,77005
1110,F,50,16,44319
1111,M,18,6,19104
1112,M,18,4,97215
1113,F,18,9,75801
1114,F,25,1,60551
1115,M,25,15,92121
1116,M,18,14,10017
1117,M,50,13,02718
1118,M,35,1,90504
1119,M,18,4,95616
1120,M,56,7,78701
1121,M,56,14,02632
1122,M,50,0,91789
1123,M,25,2,60156
1124,F,18,4,53715
1125,M,56,16,13031
1126,M,25,0,11788
1127,M,25,1,72701
1128,M,35,17,22309
1129,M,18,7,60012
1130,M,56,13,12570
1131,M,18,12,98225
1132,M,18,2,90038
1133,M,18,20,19114
1134,M,50,13,98201
1135,F,35,7,90274
1136,M,18,4,13165
1137,M,18,12,12047
1138,M,25,1,93420-2852
1139,F,45,2,73069
1140,F,25,3,84770
1141,M,18,1,43623
1142,M,50,7,94024
1143,M,25,7,94025
1144,M,50,3,92103
1145,F,18,16,80260
1146,M,25,20,98101
1147,M,35,17,92618
1148,M,25,12,98103
1149,F,25,20,75226
1150,M,25,15,46805
1151,M,18,4,30328
1152,M,18,10,33024
1153,F,1,10,53545
1154,M,25,12,90278
1155,F,50,2,33334
1156,M,45,7,30253
1157,F,35,1,98026
1158,M,18,0,48314
1159,M,18,14,07017
1160,M,25,0,10025
1161,F,35,0,97213
1162,M,1,10,70448
1163,F,25,19,90020
1164,M,25,12,45014
1165,M,56,6,94030
1166,F,50,1,55126
1167,F,25,0,94109
1168,M,25,20,94402
1169,M,56,3,10023
1170,M,45,12,94114
1171,F,25,0,61801
1172,F,25,7,10019
1173,F,18,16,91780
1174,F,25,2,90020
1175,M,56,1,44256
1176,F,25,17,01453
1177,M,56,0,48186
1178,M,50,1,91030
1179,F,50,20,95503
1180,M,35,7,20716
1181,M,1,10,91326
1182,M,35,19,94598
1183,F,25,4,92354
1184,F,35,1,97374
1185,M,18,19,98502
1186,F,1,0,90210
1187,M,45,7,72212
1188,M,25,0,85712
1189,M,45,0,98031
1190,F,35,0,98117
1191,M,50,16,98103
1192,M,25,12,90712
1193,F,25,1,95617
1194,F,1,10,13907
1195,F,18,14,22203
1196,M,35,1,44077
1197,M,1,10,49544
1198,M,50,13,77459
1199,M,1,0,97222
1200,M,18,4,84112-2004
1201,M,35,12,97006
1202,F,25,1,06417
1203,M,25,7,95076
1204,F,56,0,46814
1205,F,50,7,33764
1206,M,50,0,43617
1207,M,25,0,12590
1208,M,35,7,94127
1209,M,25,17,27519
1210,M,18,4,10027
1211,F,50,1,60089
1212,M,50,0,91505
1213,M,56,13,94558
1214,M,35,17,23602
1215,M,25,2,90292
1216,M,25,12,94118
1217,M,56,15,13207
1218,M,25,7,12206
1219,M,1,10,48073
1220,M,18,0,19134
1221,M,35,0,52162
1222,M,25,2,60102
1223,M,50,13,02125
1224,M,45,7,61081
1225,M,18,20,07087
1226,M,50,1,90027
1227,M,25,1,94720
1228,F,25,4,48219
1229,M,25,11,95125
1230,M,25,12,60515
1231,F,18,4,43235
1232,F,45,20,94519
1233,M,18,4,91006
1234,F,25,7,94043
1235,F,25,1,48316
1236,M,18,4,32720
1237,F,35,20,11215
1238,F,25,20,50111
1239,F,18,14,02144
1240,M,1,10,11803
1241,F,35,0,10014
1242,M,35,15,92627
